show_id,title,platform,genre,release_year,season_number,episode_number,episode_duration_min,pacing_score,hook_strength,dialogue_density,visual_intensity,avg_watch_percentage,pause_count,rewind_count,skip_intro,cognitive_load,attention_required,night_watch_safe,drop_off,drop_off_probability,retention_risk
200875,IT: Welcome to Derry,HBO Max,Drama,2025,1,7,62,5,8,high,9,60,6,5,0,7,high,0,0,0.48,medium
200875,IT: Welcome to Derry,HBO Max,Drama,2025,1,8,70,5,7,low,8,65,2,1,0,5,medium,0,0,0.372,medium
240459,Spartacus: House of Ashur,Starz Apple TV Channel,Drama,2025,1,1,57,3,5,high,4,20,2,2,0,9,high,0,1,0.725,high
240459,Spartacus: House of Ashur,Starz Apple TV Channel,Drama,2025,1,2,57,5,3,low,9,53,4,2,1,5,medium,0,0,0.506,medium
240459,Spartacus: House of Ashur,Starz Apple TV Channel,Drama,2025,1,3,56,3,6,medium,6,48,1,2,0,7,high,0,0,0.514,medium
240459,Spartacus: House of Ashur,Starz Apple TV Channel,Drama,2025,1,4,36,5,4,medium,5,53,1,2,1,5,medium,0,0,0.462,medium
240459,Spartacus: House of Ashur,Starz Apple TV Channel,Drama,2025,1,5,32,5,8,high,8,58,5,2,0,7,high,0,0,0.479,medium
240459,Spartacus: House of Ashur,Starz Apple TV Channel,Drama,2025,1,6,35,4,7,high,4,48,3,1,0,9,high,0,0,0.579,medium
240459,Spartacus: House of Ashur,Starz Apple TV Channel,Drama,2025,1,7,52,6,6,medium,8,61,3,1,0,5,medium,0,0,0.415,medium
240459,Spartacus: House of Ashur,Starz Apple TV Channel,Drama,2025,1,8,54,4,8,medium,9,61,7,3,0,7,high,0,0,0.485,medium
240459,Spartacus: House of Ashur,Starz Apple TV Channel,Drama,2025,1,9,40,3,4,low,9,33,5,3,1,7,high,0,1,0.651,high
240459,Spartacus: House of Ashur,Starz Apple TV Channel,Drama,2025,1,10,59,6,5,low,4,56,1,0,1,5,medium,0,0,0.433,medium
1622,Supernatural,Netflix,Drama,2005,1,1,46,5,6,high,6,54,4,3,0,7,high,0,0,0.517,medium
1622,Supernatural,Netflix,Drama,2005,1,2,43,6,8,medium,4,68,2,1,0,5,medium,0,0,0.344,medium
1622,Supernatural,Netflix,Drama,2005,1,3,43,5,4,low,8,60,4,2,1,5,medium,0,0,0.46,medium
1622,Supernatural,Netflix,Drama,2005,1,4,42,5,8,high,6,60,0,1,0,7,high,0,0,0.42,medium
1622,Supernatural,Netflix,Drama,2005,1,5,43,6,5,low,4,61,0,5,1,5,medium,0,0,0.401,medium
1622,Supernatural,Netflix,Drama,2005,1,6,42,6,3,low,9,58,3,4,1,5,medium,0,0,0.474,medium
1622,Supernatural,Netflix,Drama,2005,1,7,40,3,4,high,4,30,10,2,1,9,high,0,1,0.775,high
1622,Supernatural,Netflix,Drama,2005,1,8,43,6,7,low,6,65,4,0,0,5,medium,0,0,0.392,medium
1622,Supernatural,Netflix,Drama,2005,1,9,43,6,7,medium,7,68,2,1,0,5,medium,0,0,0.359,medium
1622,Supernatural,Netflix,Drama,2005,1,10,43,5,7,low,8,68,0,2,0,5,medium,0,0,0.339,medium
1622,Supernatural,Netflix,Drama,2005,1,11,43,3,8,high,9,53,3,6,0,9,high,0,0,0.542,medium
1622,Supernatural,Netflix,Drama,2005,1,12,43,5,8,medium,3,72,3,0,0,5,medium,0,0,0.336,medium
1622,Supernatural,Netflix,Drama,2005,1,13,40,5,6,low,6,60,1,2,0,5,medium,0,0,0.4,medium
1622,Supernatural,Netflix,Drama,2005,1,14,43,3,8,high,5,54,7,2,0,9,high,0,0,0.577,medium
1622,Supernatural,Netflix,Drama,2005,1,15,43,4,7,low,9,53,2,2,0,7,high,0,0,0.486,medium
1622,Supernatural,Netflix,Drama,2005,1,16,42,5,8,high,7,71,2,4,0,7,high,0,0,0.391,medium
1622,Supernatural,Netflix,Drama,2005,1,17,41,4,4,medium,9,41,6,5,1,7,high,0,1,0.625,high
1622,Supernatural,Netflix,Drama,2005,1,18,42,4,7,high,3,45,1,0,0,9,high,0,0,0.573,medium
1622,Supernatural,Netflix,Drama,2005,1,19,43,5,6,low,3,61,2,1,0,5,medium,0,0,0.406,medium
1622,Supernatural,Netflix,Drama,2005,1,20,42,5,5,low,3,61,2,3,1,5,medium,0,0,0.421,medium
1622,Supernatural,Netflix,Drama,2005,1,21,41,4,7,low,3,57,7,1,0,7,high,0,0,0.518,medium
1622,Supernatural,Netflix,Drama,2005,1,22,43,6,3,high,9,41,4,3,1,7,high,0,1,0.621,high
279601,Man vs Baby,Netflix,Comedy,2025,1,1,28,6,6,high,6,58,5,4,0,7,high,0,0,0.509,medium
279601,Man vs Baby,Netflix,Comedy,2025,1,2,25,6,5,high,9,52,1,4,1,7,high,0,0,0.511,medium
279601,Man vs Baby,Netflix,Comedy,2025,1,3,28,8,4,high,9,62,2,2,1,6,medium,0,0,0.461,medium
279601,Man vs Baby,Netflix,Comedy,2025,1,4,38,6,8,medium,6,72,1,0,0,5,medium,0,0,0.316,medium
2734,Law & Order: Special Victims Unit,Hulu,Crime,1999,1,1,44,6,8,high,6,70,4,4,0,7,high,0,0,0.415,medium
2734,Law & Order: Special Victims Unit,Hulu,Crime,1999,1,2,43,4,4,low,3,40,1,1,1,7,high,0,0,0.58,medium
2734,Law & Order: Special Victims Unit,Hulu,Crime,1999,1,3,43,6,3,high,7,51,5,1,1,7,high,0,0,0.586,medium
2734,Law & Order: Special Victims Unit,Hulu,Crime,1999,1,4,43,5,7,low,3,71,1,3,0,5,medium,0,0,0.336,medium
2734,Law & Order: Special Victims Unit,Hulu,Crime,1999,1,5,44,4,8,high,3,51,7,0,0,9,high,0,0,0.591,medium
2734,Law & Order: Special Victims Unit,Hulu,Crime,1999,1,6,43,5,3,low,9,52,4,2,1,5,medium,0,0,0.511,medium
2734,Law & Order: Special Victims Unit,Hulu,Crime,1999,1,7,44,6,3,high,4,41,7,5,1,7,high,0,1,0.65,high
2734,Law & Order: Special Victims Unit,Hulu,Crime,1999,1,8,44,6,8,medium,4,75,2,0,0,5,medium,0,0,0.312,medium
2734,Law & Order: Special Victims Unit,Hulu,Crime,1999,1,9,44,5,8,high,7,67,5,3,0,7,high,0,0,0.438,medium
2734,Law & Order: Special Victims Unit,Hulu,Crime,1999,1,10,44,7,4,medium,9,59,0,8,1,5,medium,0,0,0.424,medium
2734,Law & Order: Special Victims Unit,Hulu,Crime,1999,1,11,44,7,4,low,3,55,3,1,1,5,medium,0,0,0.473,medium
2734,Law & Order: Special Victims Unit,Hulu,Crime,1999,1,12,44,7,5,medium,6,68,6,0,1,5,medium,0,0,0.429,medium
2734,Law & Order: Special Victims Unit,Hulu,Crime,1999,1,13,44,7,8,low,8,85,1,0,0,5,medium,0,0,0.258,low
2734,Law & Order: Special Victims Unit,Hulu,Crime,1999,1,14,44,4,3,medium,8,43,5,6,1,7,high,0,1,0.622,high
2734,Law & Order: Special Victims Unit,Hulu,Crime,1999,1,15,44,6,3,low,4,54,3,1,1,5,medium,0,0,0.492,medium
2734,Law & Order: Special Victims Unit,Hulu,Crime,1999,1,16,44,5,7,medium,4,71,1,0,0,5,medium,0,0,0.336,medium
2734,Law & Order: Special Victims Unit,Hulu,Crime,1999,1,17,44,7,4,medium,6,63,1,3,1,5,medium,0,0,0.416,medium
2734,Law & Order: Special Victims Unit,Hulu,Crime,1999,1,18,43,5,3,medium,9,47,1,1,1,5,medium,0,0,0.503,medium
2734,Law & Order: Special Victims Unit,Hulu,Crime,1999,1,19,42,4,3,high,7,28,4,2,1,9,high,0,1,0.739,high
2734,Law & Order: Special Victims Unit,Hulu,Crime,1999,1,20,44,4,3,low,4,33,3,2,1,7,high,0,1,0.646,high
2734,Law & Order: Special Victims Unit,Hulu,Crime,1999,1,21,43,7,6,medium,4,67,3,1,0,5,medium,0,0,0.388,medium
2734,Law & Order: Special Victims Unit,Hulu,Crime,1999,1,22,44,7,3,low,6,51,4,0,1,5,medium,0,0,0.515,medium
1416,Grey's Anatomy,Netflix,Drama,2005,1,1,43,3,8,medium,9,63,2,0,0,7,high,0,0,0.426,medium
1416,Grey's Anatomy,Netflix,Drama,2005,1,2,43,6,5,medium,8,50,1,1,1,5,medium,0,0,0.46,medium
1416,Grey's Anatomy,Netflix,Drama,2005,1,3,43,6,4,low,5,60,3,3,1,5,medium,0,0,0.45,medium
1416,Grey's Anatomy,Netflix,Drama,2005,1,4,43,4,3,high,8,33,3,4,1,9,high,0,1,0.707,high
1416,Grey's Anatomy,Netflix,Drama,2005,1,5,43,3,8,medium,3,52,2,1,0,7,high,0,0,0.476,medium
1416,Grey's Anatomy,Netflix,Drama,2005,1,6,43,3,7,medium,7,49,3,4,0,7,high,0,0,0.514,medium
1416,Grey's Anatomy,Netflix,Drama,2005,1,7,43,4,3,high,3,31,6,1,1,9,high,0,1,0.746,high
1416,Grey's Anatomy,Netflix,Drama,2005,1,8,43,4,3,high,3,24,3,1,1,9,high,0,1,0.747,high
1416,Grey's Anatomy,Netflix,Drama,2005,1,9,43,4,6,low,7,64,1,1,0,7,high,0,0,0.442,medium
1399,Game of Thrones,HBO Max,Sci-Fi & Fantasy,2011,1,1,62,5,9,high,3,57,6,1,0,7,high,0,0,0.479,medium
1399,Game of Thrones,HBO Max,Sci-Fi & Fantasy,2011,1,2,56,4,6,high,7,43,6,3,0,9,high,0,1,0.647,high
1399,Game of Thrones,HBO Max,Sci-Fi & Fantasy,2011,1,3,58,6,5,low,8,61,2,3,1,5,medium,0,0,0.421,medium
1399,Game of Thrones,HBO Max,Sci-Fi & Fantasy,2011,1,4,56,6,4,medium,6,63,3,2,1,5,medium,0,0,0.436,medium
1399,Game of Thrones,HBO Max,Sci-Fi & Fantasy,2011,1,5,55,5,8,high,5,60,4,2,0,7,high,0,0,0.46,medium
1399,Game of Thrones,HBO Max,Sci-Fi & Fantasy,2011,1,6,53,7,5,low,3,66,1,2,1,5,medium,0,0,0.388,medium
1399,Game of Thrones,HBO Max,Sci-Fi & Fantasy,2011,1,7,58,7,7,high,3,66,4,1,0,7,high,0,0,0.448,medium
1399,Game of Thrones,HBO Max,Sci-Fi & Fantasy,2011,1,8,59,4,7,low,7,62,3,2,0,7,high,0,0,0.456,medium
1399,Game of Thrones,HBO Max,Sci-Fi & Fantasy,2011,1,9,57,6,4,medium,3,61,2,2,1,5,medium,0,0,0.435,medium
1399,Game of Thrones,HBO Max,Sci-Fi & Fantasy,2011,1,10,53,5,5,medium,4,62,2,2,1,5,medium,0,0,0.416,medium
210318,The Boys from Brazil: Rise of the Bolsonaros,Disney+,Documentary,2022,1,1,59,6,9,high,7,78,4,1,0,7,high,0,0,0.364,medium
210318,The Boys from Brazil: Rise of the Bolsonaros,Disney+,Documentary,2022,1,2,59,4,8,high,5,57,6,3,0,9,high,0,0,0.553,medium
210318,The Boys from Brazil: Rise of the Bolsonaros,Disney+,Documentary,2022,1,3,59,4,4,medium,3,45,6,1,1,7,high,0,1,0.607,high
456,The Simpsons,Disney+,Family,1989,1,1,23,4,10,high,4,62,0,1,0,9,high,0,0,0.441,medium
456,The Simpsons,Disney+,Family,1989,1,2,23,6,5,high,4,50,5,0,1,7,high,0,0,0.56,medium
456,The Simpsons,Disney+,Family,1989,1,3,23,6,4,high,8,43,4,2,1,7,high,0,0,0.597,medium
456,The Simpsons,Disney+,Family,1989,1,4,22,6,7,medium,5,70,3,1,0,5,medium,0,0,0.36,medium
456,The Simpsons,Disney+,Family,1989,1,5,23,4,3,high,6,29,3,2,1,9,high,0,1,0.725,high
456,The Simpsons,Disney+,Family,1989,1,6,23,6,3,low,5,55,0,2,1,5,medium,0,0,0.457,medium
456,The Simpsons,Disney+,Family,1989,1,7,23,5,8,medium,4,70,3,0,0,5,medium,0,0,0.345,medium
456,The Simpsons,Disney+,Family,1989,1,8,23,7,7,high,6,71,4,2,0,7,high,0,0,0.425,medium
456,The Simpsons,Disney+,Family,1989,1,9,23,4,3,low,8,41,1,1,1,7,high,0,0,0.591,medium
456,The Simpsons,Disney+,Family,1989,1,10,23,5,7,low,9,64,1,2,0,5,medium,0,0,0.367,medium
456,The Simpsons,Disney+,Family,1989,1,11,23,6,7,high,4,54,1,3,0,7,high,0,0,0.472,medium
456,The Simpsons,Disney+,Family,1989,1,12,23,7,4,low,5,65,2,1,1,5,medium,0,0,0.417,medium
456,The Simpsons,Disney+,Family,1989,1,13,23,6,3,medium,4,46,3,1,1,5,medium,0,0,0.528,medium
79744,The Rookie,Hulu,Crime,2018,1,1,43,5,10,low,5,88,2,2,0,5,medium,0,0,0.224,low
79744,The Rookie,Hulu,Crime,2018,1,2,43,7,7,high,4,68,2,1,0,7,high,0,0,0.419,medium
79744,The Rookie,Hulu,Crime,2018,1,3,43,5,4,low,6,55,2,3,1,5,medium,0,0,0.463,medium
79744,The Rookie,Hulu,Crime,2018,1,4,43,4,4,high,5,24,4,0,1,9,high,0,1,0.742,high
79744,The Rookie,Hulu,Crime,2018,1,5,41,7,8,high,9,70,6,3,0,7,high,0,0,0.435,medium
79744,The Rookie,Hulu,Crime,2018,1,6,43,5,5,low,9,62,1,2,1,5,medium,0,0,0.406,medium
79744,The Rookie,Hulu,Crime,2018,1,7,42,4,6,low,9,47,4,4,0,7,high,0,0,0.548,medium
79744,The Rookie,Hulu,Crime,2018,1,8,42,7,4,low,9,65,0,4,1,5,medium,0,0,0.397,medium
79744,The Rookie,Hulu,Crime,2018,1,9,43,7,5,medium,9,58,0,4,1,5,medium,0,0,0.414,medium
79744,The Rookie,Hulu,Crime,2018,1,10,42,5,4,low,8,58,3,2,1,5,medium,0,0,0.459,medium
79744,The Rookie,Hulu,Crime,2018,1,11,43,5,6,medium,5,66,2,4,0,5,medium,0,0,0.383,medium
79744,The Rookie,Hulu,Crime,2018,1,12,43,4,5,medium,8,51,2,2,1,7,high,0,0,0.525,medium
79744,The Rookie,Hulu,Crime,2018,1,13,43,7,8,high,5,70,5,3,0,7,high,0,0,0.425,medium
79744,The Rookie,Hulu,Crime,2018,1,14,43,4,3,medium,4,38,4,1,1,7,high,0,1,0.634,high
79744,The Rookie,Hulu,Crime,2018,1,15,43,6,3,low,7,58,1,3,1,5,medium,0,0,0.454,medium
79744,The Rookie,Hulu,Crime,2018,1,16,43,7,5,high,9,58,5,0,1,7,high,0,0,0.524,medium
79744,The Rookie,Hulu,Crime,2018,1,17,42,6,6,high,7,47,1,6,0,7,high,0,0,0.518,medium
79744,The Rookie,Hulu,Crime,2018,1,18,43,4,6,high,4,38,8,1,0,9,high,0,1,0.689,high
79744,The Rookie,Hulu,Crime,2018,1,19,43,6,3,high,6,32,2,0,1,7,high,0,1,0.641,high
79744,The Rookie,Hulu,Crime,2018,1,20,43,4,7,high,8,44,5,5,0,9,high,0,1,0.617,high
4614,NCIS,Netflix,Crime,2003,1,1,45,5,7,medium,3,69,5,0,0,5,medium,0,0,0.385,medium
4614,NCIS,Netflix,Crime,2003,1,2,44,6,7,medium,8,68,2,0,0,5,medium,0,0,0.359,medium
4614,NCIS,Netflix,Crime,2003,1,3,43,4,8,medium,7,56,7,2,0,7,high,0,0,0.508,medium
4614,NCIS,Netflix,Crime,2003,1,4,44,6,8,medium,5,76,2,2,0,5,medium,0,0,0.308,medium
4614,NCIS,Netflix,Crime,2003,1,5,43,7,8,medium,7,70,6,2,0,5,medium,0,0,0.375,medium
4614,NCIS,Netflix,Crime,2003,1,6,44,5,4,medium,8,55,0,2,1,5,medium,0,0,0.443,medium
4614,NCIS,Netflix,Crime,2003,1,7,44,7,8,high,4,76,6,1,0,7,high,0,0,0.408,medium
4614,NCIS,Netflix,Crime,2003,1,8,44,6,6,high,9,58,9,2,0,7,high,0,0,0.549,medium
4614,NCIS,Netflix,Crime,2003,1,9,44,4,5,medium,4,48,3,0,1,7,high,0,0,0.549,medium
4614,NCIS,Netflix,Crime,2003,1,10,44,7,7,high,8,66,1,4,0,7,high,0,0,0.418,medium
4614,NCIS,Netflix,Crime,2003,1,11,44,6,6,medium,6,69,3,4,0,5,medium,0,0,0.38,medium
4614,NCIS,Netflix,Crime,2003,1,12,44,5,7,medium,9,68,0,2,0,5,medium,0,0,0.339,medium
4614,NCIS,Netflix,Crime,2003,1,13,42,5,8,low,5,74,3,4,0,5,medium,0,0,0.327,medium
4614,NCIS,Netflix,Crime,2003,1,14,44,6,3,low,8,62,4,2,1,5,medium,0,0,0.466,medium
4614,NCIS,Netflix,Crime,2003,1,15,44,6,4,low,4,58,2,2,1,5,medium,0,0,0.449,medium
4614,NCIS,Netflix,Crime,2003,1,16,44,4,3,low,6,42,3,3,1,7,high,0,1,0.606,high
4614,NCIS,Netflix,Crime,2003,1,17,43,4,6,medium,8,50,1,5,0,7,high,0,0,0.505,medium
4614,NCIS,Netflix,Crime,2003,1,18,44,5,8,high,6,63,5,4,0,7,high,0,0,0.456,medium
4614,NCIS,Netflix,Crime,2003,1,19,45,7,6,low,4,72,2,0,0,5,medium,0,0,0.356,medium
4614,NCIS,Netflix,Crime,2003,1,20,45,4,3,medium,4,35,4,0,1,7,high,0,1,0.648,high
4614,NCIS,Netflix,Crime,2003,1,21,44,5,8,high,6,61,1,2,0,7,high,0,0,0.425,medium
4614,NCIS,Netflix,Crime,2003,1,22,43,4,7,low,9,58,2,1,0,7,high,0,0,0.464,medium
4614,NCIS,Netflix,Crime,2003,1,23,44,4,6,low,9,53,5,0,0,7,high,0,0,0.531,medium
114868,Record of Ragnarok,Netflix,Action & Adventure,2021,1,1,24,7,10,high,7,77,2,0,0,7,high,0,0,0.334,medium
114868,Record of Ragnarok,Netflix,Action & Adventure,2021,1,2,24,6,6,high,9,46,2,3,0,7,high,0,0,0.533,medium
114868,Record of Ragnarok,Netflix,Action & Adventure,2021,1,3,24,7,7,medium,4,75,1,1,0,5,medium,0,0,0.318,medium
114868,Record of Ragnarok,Netflix,Action & Adventure,2021,1,4,24,7,6,medium,9,66,5,3,0,5,medium,0,0,0.413,medium
114868,Record of Ragnarok,Netflix,Action & Adventure,2021,1,5,24,5,8,medium,9,71,3,1,0,5,medium,0,0,0.341,medium
114868,Record of Ragnarok,Netflix,Action & Adventure,2021,1,6,24,7,8,low,5,84,2,2,0,5,medium,0,0,0.272,low
114868,Record of Ragnarok,Netflix,Action & Adventure,2021,1,7,24,7,3,high,5,51,6,1,1,7,high,0,0,0.595,medium
114868,Record of Ragnarok,Netflix,Action & Adventure,2021,1,8,24,5,5,medium,5,65,0,0,1,5,medium,0,0,0.383,medium
114868,Record of Ragnarok,Netflix,Action & Adventure,2021,1,9,24,4,4,low,4,41,5,1,1,7,high,0,1,0.616,high
114868,Record of Ragnarok,Netflix,Action & Adventure,2021,1,10,24,7,8,low,8,69,4,4,0,5,medium,0,0,0.36,medium
114868,Record of Ragnarok,Netflix,Action & Adventure,2021,1,11,24,5,3,medium,6,59,2,2,1,5,medium,0,0,0.46,medium
114868,Record of Ragnarok,Netflix,Action & Adventure,2021,1,12,24,6,7,medium,6,77,3,2,0,5,medium,0,0,0.329,medium
1405,Dexter,fuboTV,Crime,2006,1,1,53,4,6,medium,6,39,4,3,0,7,high,0,0,0.585,medium
1405,Dexter,fuboTV,Crime,2006,1,2,55,4,7,medium,6,56,3,1,0,7,high,0,0,0.483,medium
1405,Dexter,fuboTV,Crime,2006,1,3,51,4,5,medium,9,51,4,1,1,7,high,0,0,0.545,medium
1405,Dexter,fuboTV,Crime,2006,1,4,58,7,6,high,8,57,7,1,0,7,high,0,0,0.533,medium
1405,Dexter,fuboTV,Crime,2006,1,5,56,5,6,low,5,64,1,0,0,5,medium,0,0,0.382,medium
1405,Dexter,fuboTV,Crime,2006,1,6,53,7,6,low,6,66,3,0,0,5,medium,0,0,0.393,medium
1405,Dexter,fuboTV,Crime,2006,1,7,53,6,8,high,9,65,5,0,0,7,high,0,0,0.447,medium
1405,Dexter,fuboTV,Crime,2006,1,8,54,7,8,low,9,80,2,3,0,5,medium,0,0,0.29,low
1405,Dexter,fuboTV,Crime,2006,1,9,56,7,4,high,7,57,6,2,1,7,high,0,0,0.554,medium
1405,Dexter,fuboTV,Crime,2006,1,10,57,4,6,high,7,40,7,2,0,9,high,0,1,0.67,high
1405,Dexter,fuboTV,Crime,2006,1,11,54,4,3,high,6,28,10,2,1,9,high,0,1,0.799,high
1405,Dexter,fuboTV,Crime,2006,1,12,57,5,6,low,3,65,1,0,0,5,medium,0,0,0.378,medium
225171,Pluribus,Apple TV,Drama,2025,1,1,57,5,8,medium,4,65,3,1,0,5,medium,0,0,0.367,medium
225171,Pluribus,Apple TV,Drama,2025,1,2,63,6,5,medium,9,54,0,4,1,5,medium,0,0,0.432,medium
225171,Pluribus,Apple TV,Drama,2025,1,3,44,6,5,medium,5,63,1,1,1,5,medium,0,0,0.402,medium
225171,Pluribus,Apple TV,Drama,2025,1,4,46,3,6,low,8,53,8,1,0,7,high,0,0,0.561,medium
225171,Pluribus,Apple TV,Drama,2025,1,5,46,3,5,low,8,47,2,2,1,7,high,0,0,0.543,medium
225171,Pluribus,Apple TV,Drama,2025,1,6,50,3,8,low,9,57,3,5,0,7,high,0,0,0.464,medium
225171,Pluribus,Apple TV,Drama,2025,1,7,46,3,4,low,9,35,2,2,1,7,high,0,1,0.613,high
225171,Pluribus,Apple TV,Drama,2025,1,8,43,3,7,low,4,50,5,0,0,7,high,0,0,0.53,medium
225171,Pluribus,Apple TV,Drama,2025,1,9,48,4,6,high,3,43,6,2,0,9,high,0,1,0.647,high
34307,Shameless,Netflix,Drama,2011,1,1,57,4,8,high,5,49,6,2,0,9,high,0,0,0.59,medium
34307,Shameless,Netflix,Drama,2011,1,2,55,5,4,high,7,48,2,0,1,7,high,0,0,0.554,medium
34307,Shameless,Netflix,Drama,2011,1,3,52,3,4,medium,3,36,4,1,1,7,high,0,1,0.628,high
34307,Shameless,Netflix,Drama,2011,1,4,45,3,5,high,8,29,5,3,1,9,high,0,1,0.715,high
34307,Shameless,Netflix,Drama,2011,1,5,44,6,6,high,4,65,2,1,0,7,high,0,0,0.448,medium
34307,Shameless,Netflix,Drama,2011,1,6,50,3,7,high,9,39,3,5,0,9,high,0,1,0.62,high
34307,Shameless,Netflix,Drama,2011,1,7,44,4,3,high,9,28,6,4,1,9,high,0,1,0.759,high
34307,Shameless,Netflix,Drama,2011,1,8,47,5,8,high,9,57,6,4,0,7,high,0,0,0.493,medium
34307,Shameless,Netflix,Drama,2011,1,9,50,3,7,low,5,52,3,1,0,7,high,0,0,0.501,medium
34307,Shameless,Netflix,Drama,2011,1,10,48,6,8,medium,3,77,1,0,0,5,medium,0,0,0.293,low
34307,Shameless,Netflix,Drama,2011,1,11,45,5,3,medium,9,54,2,4,1,5,medium,0,0,0.482,medium
34307,Shameless,Netflix,Drama,2011,1,12,50,6,3,medium,5,56,4,1,1,5,medium,0,0,0.493,medium
549,Law & Order,Hulu,Crime,1990,1,1,48,7,10,low,6,98,6,0,0,5,medium,0,0,0.219,low
549,Law & Order,Hulu,Crime,1990,1,2,47,5,8,high,8,56,5,5,0,7,high,0,0,0.488,medium
549,Law & Order,Hulu,Crime,1990,1,3,46,6,7,high,9,59,2,1,0,7,high,0,0,0.46,medium
549,Law & Order,Hulu,Crime,1990,1,4,47,7,6,medium,9,70,3,1,0,5,medium,0,0,0.375,medium
549,Law & Order,Hulu,Crime,1990,1,5,48,6,5,low,9,65,3,1,1,5,medium,0,0,0.412,medium
549,Law & Order,Hulu,Crime,1990,1,6,45,4,5,medium,4,45,2,2,1,7,high,0,0,0.552,medium
549,Law & Order,Hulu,Crime,1990,1,7,47,7,7,high,8,71,1,1,0,7,high,0,0,0.396,medium
549,Law & Order,Hulu,Crime,1990,1,8,47,7,5,low,6,64,4,3,1,5,medium,0,0,0.427,medium
549,Law & Order,Hulu,Crime,1990,1,9,48,6,4,medium,4,59,2,1,1,5,medium,0,0,0.445,medium
549,Law & Order,Hulu,Crime,1990,1,10,46,6,5,medium,5,65,1,2,1,5,medium,0,0,0.393,medium
549,Law & Order,Hulu,Crime,1990,1,11,47,6,7,low,7,74,2,2,0,5,medium,0,0,0.332,medium
549,Law & Order,Hulu,Crime,1990,1,12,48,5,3,low,8,47,3,2,1,5,medium,0,0,0.523,medium
549,Law & Order,Hulu,Crime,1990,1,13,46,7,6,high,9,59,4,7,0,7,high,0,0,0.495,medium
549,Law & Order,Hulu,Crime,1990,1,14,47,5,8,medium,8,71,5,2,0,5,medium,0,0,0.36,medium
549,Law & Order,Hulu,Crime,1990,1,15,48,7,6,low,3,74,2,0,0,5,medium,0,0,0.347,medium
549,Law & Order,Hulu,Crime,1990,1,16,47,6,4,medium,8,57,0,0,1,5,medium,0,0,0.433,medium
549,Law & Order,Hulu,Crime,1990,1,17,48,5,5,high,7,50,4,2,1,7,high,0,0,0.55,medium
549,Law & Order,Hulu,Crime,1990,1,18,48,6,6,high,7,62,1,0,0,7,high,0,0,0.451,medium
549,Law & Order,Hulu,Crime,1990,1,19,48,6,6,high,7,60,5,1,0,7,high,0,0,0.5,medium
549,Law & Order,Hulu,Crime,1990,1,20,47,6,5,high,6,56,1,4,1,7,high,0,0,0.493,medium
549,Law & Order,Hulu,Crime,1990,1,21,47,6,5,medium,4,69,4,2,1,5,medium,0,0,0.405,medium
549,Law & Order,Hulu,Crime,1990,1,22,48,4,8,low,5,53,4,1,0,7,high,0,0,0.491,medium
1434,Family Guy,Hulu,Animation,1999,1,1,23,4,10,high,9,47,8,5,0,9,high,0,0,0.589,medium
1434,Family Guy,Hulu,Animation,1999,1,2,22,5,4,low,8,57,3,4,1,5,medium,0,0,0.464,medium
